Zonas de movilidad;Periodo;Total
Granada;15/6/2020;18,57
Granada;14/6/2020;15,09
Granada;13/6/2020;17,12
Granada;12/6/2020;17,55
Granada;11/6/2020;19,10
Granada;10/6/2020;19,22
Granada;9/6/2020;16,21
Granada;8/6/2020;16,74
Granada;7/6/2020;13,02
Granada;6/6/2020;16,38
Granada;5/6/2020;17,26
Granada;4/6/2020;17,60
Granada;3/6/2020;17,65
Granada;2/6/2020;17,44
Granada;1/6/2020;16,27
Granada;31/5/2020;12,08
Granada;30/5/2020;14,72
Granada;29/5/2020;16,63
Granada;28/5/2020;16,56
Granada;27/5/2020;16,37
Granada;26/5/2020;16,19
Granada;25/5/2020;15,82
Granada;24/5/2020;11,91
Granada;23/5/2020;14,07
Granada;22/5/2020;15,93
Granada;21/5/2020;15,91
Granada;20/5/2020;16,04
Granada;19/5/2020;16,02
Granada;18/5/2020;14,94
Granada;17/5/2020;7,05
Granada;16/5/2020;9,13
Granada;15/5/2020;12,75
Granada;14/5/2020;13,09
Granada;13/5/2020;13,09
Granada;12/5/2020;12,40
Granada;11/5/2020;12,39
Granada;10/5/2020;6,71
Granada;9/5/2020;7,57
Granada;8/5/2020;12,74
Granada;7/5/2020;12,62
Granada;6/5/2020;12,68
Granada;5/5/2020;12,79
Granada;4/5/2020;11,94
Granada;3/5/2020;7,32
Granada;2/5/2020;8,25
Granada;1/5/2020;7,60
Granada;30/4/2020;11,22
Granada;29/4/2020;11,08
Granada;28/4/2020;10,85
Granada;27/4/2020;10,34
Granada;26/4/2020;5,71
Granada;25/4/2020;7,28
Granada;24/4/2020;10,60
Granada;23/4/2020;10,55
Granada;22/4/2020;10,92
Granada;21/4/2020;10,40
Granada;20/4/2020;10,06
Granada;19/4/2020;5,91
Granada;18/4/2020;7,78
Granada;17/4/2020;10,27
Granada;16/4/2020;10,77
Granada;15/4/2020;9,95
Granada;14/4/2020;10,47
Granada;13/4/2020;9,86
Granada;12/4/2020;6,25
Granada;11/4/2020;7,70
Granada;10/4/2020;6,50
Granada;9/4/2020;7,61
Granada;8/4/2020;9,28
Granada;7/4/2020;9,37
Granada;6/4/2020;9,10
Granada;5/4/2020;6,01
Granada;4/4/2020;7,00
Granada;3/4/2020;8,94
Granada;2/4/2020;8,53
Granada;1/4/2020;8,76
Granada;31/3/2020;8,38
Granada;30/3/2020;9,17
Granada;28/3/2020;7,82
Granada;26/3/2020;9,87
Granada;24/3/2020;10,21
Granada;22/3/2020;6,20
Granada;20/3/2020;7,97
Granada;18/3/2020;8,16
Granada;16/3/2020;11,40
Granada;18/11/2019;24,25
Huelva;30/12/2020;14,99
Huelva;27/12/2020;10,40
Huelva;23/12/2020;15,41
Huelva;20/12/2020;10,69
Huelva;16/12/2020;15,74
